Order ID,Order Date,Ship Date,Ship Mode,Factory,State/Province,Region,Route_State,Route_Region,Shipping Lead Time,Delay Status,Shipping Speed Category,Sales,Units,Cost,Gross Profit,Dynamic Delay Status,Order Month,Order Year,Order Month Name
US-2021-112326-CHO-NUT-13000,2024-01-04,2024-01-09,Standard Class,Lot's O' Nuts,Illinois,Interior,Lot's O' Nuts → Illinois,Lot's O' Nuts → Interior,5,On-Time,Slow,10.47,3,3.0,7.47,On-Time,2024-01,2024,Jan 2024
US-2021-112326-CHO-SCR-58000,2024-01-04,2024-01-11,Standard Class,Lot's O' Nuts,Illinois,Interior,Lot's O' Nuts → Illinois,Lot's O' Nuts → Interior,7,Delayed,Slow,10.8,3,3.3,7.5,Delayed,2024-01,2024,Jan 2024
US-2022-108588-CHO-MIL-31000,2024-01-05,2024-01-10,Standard Class,Wicked Choccy's,New York,Atlantic,Wicked Choccy's → New York,Wicked Choccy's → Atlantic,5,On-Time,Slow,6.5,2,2.28,4.22,On-Time,2024-01,2024,Jan 2024
US-2022-108588-CHO-SCR-58000,2024-01-05,2024-01-12,Standard Class,Lot's O' Nuts,New York,Atlantic,Lot's O' Nuts → New York,Lot's O' Nuts → Atlantic,7,Delayed,Slow,7.2,2,2.2,5.0,Delayed,2024-01,2024,Jan 2024
US-2022-158701-CHO-NUT-13000,2024-01-05,2024-01-10,Standard Class,Lot's O' Nuts,California,Pacific,Lot's O' Nuts → California,Lot's O' Nuts → Pacific,5,On-Time,Slow,20.94,6,6.0,14.94,On-Time,2024-01,2024,Jan 2024
US-2022-108588-CHO-NUT-13000,2024-01-05,2024-01-08,Standard Class,Lot's O' Nuts,New York,Atlantic,Lot's O' Nuts → New York,Lot's O' Nuts → Atlantic,3,On-Time,Slow,10.47,3,3.0,7.47,On-Time,2024-01,2024,Jan 2024
US-2022-158701-CHO-MIL-31000,2024-01-05,2024-01-12,Standard Class,Wicked Choccy's,California,Pacific,Wicked Choccy's → California,Wicked Choccy's → Pacific,7,Delayed,Slow,19.5,6,6.84,12.66,Delayed,2024-01,2024,Jan 2024
US-2022-154970-CHO-TRI-54000,2024-01-05,2024-01-09,Standard Class,Wicked Choccy's,Washington,Pacific,Wicked Choccy's → Washington,Wicked Choccy's → Pacific,4,On-Time,Slow,3.75,1,1.3,2.45,On-Time,2024-01,2024,Jan 2024
US-2021-141817-CHO-TRI-54000,2024-01-05,2024-01-12,Standard Class,Wicked Choccy's,Pennsylvania,Atlantic,Wicked Choccy's → Pennsylvania,Wicked Choccy's → Atlantic,7,Delayed,Slow,11.25,3,3.9,7.35,Delayed,2024-01,2024,Jan 2024
US-2022-149636-CHO-SCR-58000,2024-01-06,2024-01-09,Standard Class,Lot's O' Nuts,Colorado,Pacific,Lot's O' Nuts → Colorado,Lot's O' Nuts → Pacific,3,On-Time,Slow,7.2,2,2.2,5.0,On-Time,2024-01,2024,Jan 2024
US-2021-167199-CHO-SCR-58000,2024-01-06,2024-01-11,Standard Class,Lot's O' Nuts,Kentucky,Gulf,Lot's O' Nuts → Kentucky,Lot's O' Nuts → Gulf,5,On-Time,Slow,14.4,4,4.4,10.0,On-Time,2024-01,2024,Jan 2024
US-2021-167199-CHO-FUD-51000,2024-01-06,2024-01-13,Standard Class,Lot's O' Nuts,Kentucky,Gulf,Lot's O' Nuts → Kentucky,Lot's O' Nuts → Gulf,7,Delayed,Slow,7.2,2,2.4,4.8,Delayed,2024-01,2024,Jan 2024
US-2022-149636-CHO-SCR-58000,2024-01-06,2024-01-09,Standard Class,Lot's O' Nuts,Colorado,Pacific,Lot's O' Nuts → Colorado,Lot's O' Nuts → Pacific,3,On-Time,Slow,18.0,5,5.5,12.5,On-Time,2024-01,2024,Jan 2024
US-2021-167199-CHO-TRI-54000,2024-01-06,2024-01-11,Standard Class,Wicked Choccy's,Kentucky,Gulf,Wicked Choccy's → Kentucky,Wicked Choccy's → Gulf,5,On-Time,Slow,7.5,2,2.6,4.9,On-Time,2024-01,2024,Jan 2024
US-2021-106054-CHO-MIL-31000,2024-01-06,2024-01-09,First Class,Wicked Choccy's,Georgia,Gulf,Wicked Choccy's → Georgia,Wicked Choccy's → Gulf,3,On-Time,Fast,9.75,3,3.42,6.33,On-Time,2024-01,2024,Jan 2024
US-2021-167199-CHO-NUT-13000,2024-01-06,2024-01-11,Standard Class,Lot's O' Nuts,Kentucky,Gulf,Lot's O' Nuts → Kentucky,Lot's O' Nuts → Gulf,5,On-Time,Slow,6.98,2,2.0,4.98,On-Time,2024-01,2024,Jan 2024
US-2021-167199-CHO-MIL-31000,2024-01-06,2024-01-11,Standard Class,Wicked Choccy's,Kentucky,Gulf,Wicked Choccy's → Kentucky,Wicked Choccy's → Gulf,5,On-Time,Slow,13.0,4,4.56,8.44,On-Time,2024-01,2024,Jan 2024
US-2021-167199-CHO-MIL-31000,2024-01-06,2024-01-13,Standard Class,Wicked Choccy's,Kentucky,Gulf,Wicked Choccy's → Kentucky,Wicked Choccy's → Gulf,7,Delayed,Slow,3.25,1,1.14,2.11,Delayed,2024-01,2024,Jan 2024
US-2021-130813-CHO-MIL-31000,2024-01-06,2024-01-11,Second Class,Wicked Choccy's,California,Pacific,Wicked Choccy's → California,Wicked Choccy's → Pacific,5,On-Time,Medium,9.75,3,3.42,6.33,On-Time,2024-01,2024,Jan 2024
US-2021-167199-CHO-SCR-58000,2024-01-06,2024-01-10,Standard Class,Lot's O' Nuts,Kentucky,Gulf,Lot's O' Nuts → Kentucky,Lot's O' Nuts → Gulf,4,On-Time,Slow,32.4,9,9.9,22.5,On-Time,2024-01,2024,Jan 2024
US-2021-105417-CHO-MIL-31000,2024-01-07,2024-01-11,Standard Class,Wicked Choccy's,Texas,Interior,Wicked Choccy's → Texas,Wicked Choccy's → Interior,4,On-Time,Slow,9.75,3,3.42,6.33,On-Time,2024-01,2024,Jan 2024
US-2021-105417-CHO-TRI-54000,2024-01-07,2024-01-13,Standard Class,Wicked Choccy's,Texas,Interior,Wicked Choccy's → Texas,Wicked Choccy's → Interior,6,Delayed,Slow,26.25,7,9.1,17.15,Delayed,2024-01,2024,Jan 2024
US-2021-135405-CHO-TRI-54000,2024-01-09,2024-01-15,Standard Class,Wicked Choccy's,Texas,Interior,Wicked Choccy's → Texas,Wicked Choccy's → Interior,6,Delayed,Slow,11.25,3,3.9,7.35,Delayed,2024-01,2024,Jan 2024
US-2021-135405-CHO-TRI-54000,2024-01-09,2024-01-13,Standard Class,Wicked Choccy's,Texas,Interior,Wicked Choccy's → Texas,Wicked Choccy's → Interior,4,On-Time,Slow,7.5,2,2.6,4.9,On-Time,2024-01,2024,Jan 2024
US-2022-119480-CHO-NUT-13000,2024-01-09,2024-01-13,Standard Class,Lot's O' Nuts,Kentucky,Gulf,Lot's O' Nuts → Kentucky,Lot's O' Nuts → Gulf,4,On-Time,Slow,17.45,5,5.0,12.45,On-Time,2024-01,2024,Jan 2024
US-2022-119480-CHO-FUD-51000,2024-01-09,2024-01-15,Standard Class,Lot's O' Nuts,Kentucky,Gulf,Lot's O' Nuts → Kentucky,Lot's O' Nuts → Gulf,6,Delayed,Slow,10.8,3,3.6,7.2,Delayed,2024-01,2024,Jan 2024
US-2022-119480-CHO-TRI-54000,2024-01-09,2024-01-12,Standard Class,Wicked Choccy's,Kentucky,Gulf,Wicked Choccy's → Kentucky,Wicked Choccy's → Gulf,3,On-Time,Slow,7.5,2,2.6,4.9,On-Time,2024-01,2024,Jan 2024
US-2022-119480-CHO-TRI-54000,2024-01-09,2024-01-16,Standard Class,Wicked Choccy's,Kentucky,Gulf,Wicked Choccy's → Kentucky,Wicked Choccy's → Gulf,7,Delayed,Slow,11.25,3,3.9,7.35,Delayed,2024-01,2024,Jan 2024
US-2021-149020-OTH-GUM-21000,2024-01-10,2024-01-13,Standard Class,Secret Factory,Virginia,Gulf,Secret Factory → Virginia,Secret Factory → Gulf,3,On-Time,Slow,1.25,1,0.6,0.65,On-Time,2024-01,2024,Jan 2024
US-2022-157154-CHO-MIL-31000,2024-01-10,2024-01-17,Standard Class,Wicked Choccy's,New York,Atlantic,Wicked Choccy's → New York,Wicked Choccy's → Atlantic,7,Delayed,Slow,13.0,4,4.56,8.44,Delayed,2024-01,2024,Jan 2024
US-2021-149020-CHO-MIL-31000,2024-01-10,2024-01-17,Standard Class,Wicked Choccy's,Virginia,Gulf,Wicked Choccy's → Virginia,Wicked Choccy's → Gulf,7,Delayed,Slow,3.25,1,1.14,2.11,Delayed,2024-01,2024,Jan 2024
US-2021-130092-CHO-MIL-31000,2024-01-11,2024-01-13,First Class,Wicked Choccy's,Delaware,Atlantic,Wicked Choccy's → Delaware,Wicked Choccy's → Atlantic,2,On-Time,Fast,6.5,2,2.28,4.22,On-Time,2024-01,2024,Jan 2024
US-2022-128608-CHO-FUD-51000,2024-01-12,2024-01-15,Standard Class,Lot's O' Nuts,Ohio,Atlantic,Lot's O' Nuts → Ohio,Lot's O' Nuts → Atlantic,3,On-Time,Slow,7.2,2,2.4,4.8,On-Time,2024-01,2024,Jan 2024
US-2022-128608-OTH-LIC-15000,2024-01-12,2024-01-15,Standard Class,Secret Factory,Ohio,Atlantic,Secret Factory → Ohio,Secret Factory → Atlantic,3,On-Time,Slow,60.0,3,30.0,30.0,On-Time,2024-01,2024,Jan 2024
US-2022-128608-OTH-LIC-15000,2024-01-12,2024-01-15,Standard Class,Secret Factory,Ohio,Atlantic,Secret Factory → Ohio,Secret Factory → Atlantic,3,On-Time,Slow,80.0,4,40.0,40.0,On-Time,2024-01,2024,Jan 2024
US-2022-128608-CHO-MIL-31000,2024-01-12,2024-01-19,Standard Class,Wicked Choccy's,Ohio,Atlantic,Wicked Choccy's → Ohio,Wicked Choccy's → Atlantic,7,Delayed,Slow,6.5,2,2.28,4.22,Delayed,2024-01,2024,Jan 2024
US-2022-156755-CHO-TRI-54000,2024-01-12,2024-01-18,Standard Class,Wicked Choccy's,Delaware,Atlantic,Wicked Choccy's → Delaware,Wicked Choccy's → Atlantic,6,Delayed,Slow,11.25,3,3.9,7.35,Delayed,2024-01,2024,Jan 2024
US-2022-128608-CHO-NUT-13000,2024-01-12,2024-01-17,Standard Class,Lot's O' Nuts,Ohio,Atlantic,Lot's O' Nuts → Ohio,Lot's O' Nuts → Atlantic,5,On-Time,Slow,6.98,2,2.0,4.98,On-Time,2024-01,2024,Jan 2024
US-2022-169677-CHO-NUT-13000,2024-01-13,2024-01-16,Second Class,Lot's O' Nuts,Georgia,Gulf,Lot's O' Nuts → Georgia,Lot's O' Nuts → Gulf,3,On-Time,Medium,6.98,2,2.0,4.98,On-Time,2024-01,2024,Jan 2024
US-2022-137526-CHO-TRI-54000,2024-01-13,2024-01-18,Standard Class,Wicked Choccy's,California,Pacific,Wicked Choccy's → California,Wicked Choccy's → Pacific,5,On-Time,Slow,33.75,9,11.7,22.05,On-Time,2024-01,2024,Jan 2024
US-2021-157147-CHO-MIL-31000,2024-01-13,2024-01-20,Standard Class,Wicked Choccy's,California,Pacific,Wicked Choccy's → California,Wicked Choccy's → Pacific,7,Delayed,Slow,9.75,3,3.42,6.33,Delayed,2024-01,2024,Jan 2024
US-2021-109232-CHO-NUT-13000,2024-01-13,2024-01-18,Second Class,Lot's O' Nuts,South Carolina,Gulf,Lot's O' Nuts → South Carolina,Lot's O' Nuts → Gulf,5,On-Time,Medium,20.94,6,6.0,14.94,On-Time,2024-01,2024,Jan 2024
US-2021-157147-CHO-MIL-31000,2024-01-13,2024-01-16,Standard Class,Wicked Choccy's,California,Pacific,Wicked Choccy's → California,Wicked Choccy's → Pacific,3,On-Time,Slow,16.25,5,5.7,10.55,On-Time,2024-01,2024,Jan 2024
US-2021-118192-CHO-SCR-58000,2024-01-13,2024-01-16,Standard Class,Lot's O' Nuts,Ohio,Atlantic,Lot's O' Nuts → Ohio,Lot's O' Nuts → Atlantic,3,On-Time,Slow,7.2,2,2.2,5.0,On-Time,2024-01,2024,Jan 2024
US-2021-162775-CHO-TRI-54000,2024-01-13,2024-01-17,Second Class,Wicked Choccy's,Louisiana,Gulf,Wicked Choccy's → Louisiana,Wicked Choccy's → Gulf,4,On-Time,Medium,11.25,3,3.9,7.35,On-Time,2024-01,2024,Jan 2024
US-2021-162775-OTH-KAZ-38000,2024-01-13,2024-01-17,Second Class,The Other Factory,Louisiana,Gulf,The Other Factory → Louisiana,The Other Factory → Gulf,4,On-Time,Medium,9.75,3,9.0,0.75,On-Time,2024-01,2024,Jan 2024
US-2021-162775-CHO-MIL-31000,2024-01-13,2024-01-17,Second Class,Wicked Choccy's,Louisiana,Gulf,Wicked Choccy's → Louisiana,Wicked Choccy's → Gulf,4,On-Time,Medium,6.5,2,2.28,4.22,On-Time,2024-01,2024,Jan 2024
US-2021-118192-CHO-SCR-58000,2024-01-13,2024-01-17,Standard Class,Lot's O' Nuts,Ohio,Atlantic,Lot's O' Nuts → Ohio,Lot's O' Nuts → Atlantic,4,On-Time,Slow,25.2,7,7.7,17.5,On-Time,2024-01,2024,Jan 2024
US-2021-162775-CHO-MIL-31000,2024-01-13,2024-01-18,Second Class,Wicked Choccy's,Louisiana,Gulf,Wicked Choccy's → Louisiana,Wicked Choccy's → Gulf,5,On-Time,Medium,19.5,6,6.84,12.66,On-Time,2024-01,2024,Jan 2024
US-2022-137526-CHO-MIL-31000,2024-01-13,2024-01-16,Standard Class,Wicked Choccy's,California,Pacific,Wicked Choccy's → California,Wicked Choccy's → Pacific,3,On-Time,Slow,13.0,4,4.56,8.44,On-Time,2024-01,2024,Jan 2024
US-2021-157147-CHO-NUT-13000,2024-01-13,2024-01-19,Standard Class,Lot's O' Nuts,California,Pacific,Lot's O' Nuts → California,Lot's O' Nuts → Pacific,6,Delayed,Slow,17.45,5,5.0,12.45,Delayed,2024-01,2024,Jan 2024
US-2022-137526-CHO-FUD-51000,2024-01-13,2024-01-19,Standard Class,Lot's O' Nuts,California,Pacific,Lot's O' Nuts → California,Lot's O' Nuts → Pacific,6,Delayed,Slow,10.8,3,3.6,7.2,Delayed,2024-01,2024,Jan 2024
US-2021-162775-CHO-SCR-58000,2024-01-13,2024-01-18,Second Class,Lot's O' Nuts,Louisiana,Gulf,Lot's O' Nuts → Louisiana,Lot's O' Nuts → Gulf,5,On-Time,Medium,21.6,6,6.6,15.0,On-Time,2024-01,2024,Jan 2024
US-2021-149524-OTH-GUM-21000,2024-01-14,2024-01-17,First Class,Secret Factory,Pennsylvania,Atlantic,Secret Factory → Pennsylvania,Secret Factory → Atlantic,3,On-Time,Fast,5.0,4,2.4,2.6,On-Time,2024-01,2024,Jan 2024
US-2021-103366-CHO-SCR-58000,2024-01-15,2024-01-17,First Class,Lot's O' Nuts,Georgia,Gulf,Lot's O' Nuts → Georgia,Lot's O' Nuts → Gulf,2,On-Time,Fast,18.0,5,5.5,12.5,On-Time,2024-01,2024,Jan 2024
US-2021-115791-CHO-TRI-54000,2024-01-16,2024-01-19,Second Class,Wicked Choccy's,Pennsylvania,Atlantic,Wicked Choccy's → Pennsylvania,Wicked Choccy's → Atlantic,3,On-Time,Medium,22.5,6,7.8,14.7,On-Time,2024-01,2024,Jan 2024
US-2021-115791-CHO-FUD-51000,2024-01-16,2024-01-20,Second Class,Lot's O' Nuts,Pennsylvania,Atlantic,Lot's O' Nuts → Pennsylvania,Lot's O' Nuts → Atlantic,4,On-Time,Medium,7.2,2,2.4,4.8,On-Time,2024-01,2024,Jan 2024
US-2021-115791-CHO-TRI-54000,2024-01-16,2024-01-19,Second Class,Wicked Choccy's,Pennsylvania,Atlantic,Wicked Choccy's → Pennsylvania,Wicked Choccy's → Atlantic,3,On-Time,Medium,11.25,3,3.9,7.35,On-Time,2024-01,2024,Jan 2024
US-2021-115791-CHO-SCR-58000,2024-01-16,2024-01-20,Second Class,Lot's O' Nuts,Pennsylvania,Atlantic,Lot's O' Nuts → Pennsylvania,Lot's O' Nuts → Atlantic,4,On-Time,Medium,10.8,3,3.3,7.5,On-Time,2024-01,2024,Jan 2024
US-2022-101399-CHO-FUD-51000,2024-01-17,2024-01-21,Standard Class,Lot's O' Nuts,Illinois,Interior,Lot's O' Nuts → Illinois,Lot's O' Nuts → Interior,4,On-Time,Slow,25.2,7,8.4,16.8,On-Time,2024-01,2024,Jan 2024
CA-2022-152681-CHO-MIL-31000,2024-01-17,2024-01-21,Standard Class,Wicked Choccy's,Quebec,Atlantic,Wicked Choccy's → Quebec,Wicked Choccy's → Atlantic,4,On-Time,Slow,6.5,2,2.28,4.22,On-Time,2024-01,2024,Jan 2024
US-2022-152681-CHO-MIL-31000,2024-01-17,2024-01-22,Standard Class,Wicked Choccy's,Massachusetts,Atlantic,Wicked Choccy's → Massachusetts,Wicked Choccy's → Atlantic,5,On-Time,Slow,6.5,2,2.28,4.22,On-Time,2024-01,2024,Jan 2024
US-2022-151547-CHO-MIL-31000,2024-01-17,2024-01-22,Standard Class,Wicked Choccy's,Tennessee,Gulf,Wicked Choccy's → Tennessee,Wicked Choccy's → Gulf,5,On-Time,Slow,26.0,8,9.12,16.88,On-Time,2024-01,2024,Jan 2024
US-2021-123477-CHO-NUT-13000,2024-01-18,2024-01-23,Second Class,Lot's O' Nuts,Oregon,Pacific,Lot's O' Nuts → Oregon,Lot's O' Nuts → Pacific,5,On-Time,Medium,13.96,4,4.0,9.96,On-Time,2024-01,2024,Jan 2024
US-2021-146591-CHO-TRI-54000,2024-01-19,2024-01-22,First Class,Wicked Choccy's,Arizona,Pacific,Wicked Choccy's → Arizona,Wicked Choccy's → Pacific,3,On-Time,Fast,18.75,5,6.5,12.25,On-Time,2024-01,2024,Jan 2024
US-2022-141250-CHO-TRI-54000,2024-01-19,2024-01-22,Standard Class,Wicked Choccy's,Texas,Interior,Wicked Choccy's → Texas,Wicked Choccy's → Interior,3,On-Time,Slow,3.75,1,1.3,2.45,On-Time,2024-01,2024,Jan 2024
US-2022-141250-CHO-NUT-13000,2024-01-19,2024-01-23,Standard Class,Lot's O' Nuts,Texas,Interior,Lot's O' Nuts → Texas,Lot's O' Nuts → Interior,4,On-Time,Slow,13.96,4,4.0,9.96,On-Time,2024-01,2024,Jan 2024
US-2021-146591-CHO-FUD-51000,2024-01-19,2024-01-20,First Class,Lot's O' Nuts,Arizona,Pacific,Lot's O' Nuts → Arizona,Lot's O' Nuts → Pacific,1,On-Time,Fast,36.0,10,12.0,24.0,On-Time,2024-01,2024,Jan 2024
US-2021-146591-CHO-FUD-51000,2024-01-19,2024-01-20,First Class,Lot's O' Nuts,Arizona,Pacific,Lot's O' Nuts → Arizona,Lot's O' Nuts → Pacific,1,On-Time,Fast,14.4,4,4.8,9.6,On-Time,2024-01,2024,Jan 2024
US-2021-146591-CHO-TRI-54000,2024-01-19,2024-01-22,First Class,Wicked Choccy's,Arizona,Pacific,Wicked Choccy's → Arizona,Wicked Choccy's → Pacific,3,On-Time,Fast,18.75,5,6.5,12.25,On-Time,2024-01,2024,Jan 2024
US-2021-147627-CHO-TRI-54000,2024-01-20,2024-01-25,Standard Class,Wicked Choccy's,Arkansas,Gulf,Wicked Choccy's → Arkansas,Wicked Choccy's → Gulf,5,On-Time,Slow,11.25,3,3.9,7.35,On-Time,2024-01,2024,Jan 2024
US-2021-147627-CHO-FUD-51000,2024-01-20,2024-01-26,Standard Class,Lot's O' Nuts,Arkansas,Gulf,Lot's O' Nuts → Arkansas,Lot's O' Nuts → Gulf,6,Delayed,Slow,25.2,7,8.4,16.8,Delayed,2024-01,2024,Jan 2024
US-2021-167927-CHO-MIL-31000,2024-01-20,2024-01-26,Standard Class,Wicked Choccy's,Michigan,Interior,Wicked Choccy's → Michigan,Wicked Choccy's → Interior,6,Delayed,Slow,6.5,2,2.28,4.22,Delayed,2024-01,2024,Jan 2024
US-2021-167927-CHO-FUD-51000,2024-01-20,2024-01-26,Standard Class,Lot's O' Nuts,Michigan,Interior,Lot's O' Nuts → Michigan,Lot's O' Nuts → Interior,6,Delayed,Slow,3.6,1,1.2,2.4,Delayed,2024-01,2024,Jan 2024
US-2021-148614-CHO-SCR-58000,2024-01-20,2024-01-26,Standard Class,Lot's O' Nuts,California,Pacific,Lot's O' Nuts → California,Lot's O' Nuts → Pacific,6,Delayed,Slow,7.2,2,2.2,5.0,Delayed,2024-01,2024,Jan 2024
US-2021-147627-CHO-FUD-51000,2024-01-20,2024-01-24,Standard Class,Lot's O' Nuts,Arkansas,Gulf,Lot's O' Nuts → Arkansas,Lot's O' Nuts → Gulf,4,On-Time,Slow,10.8,3,3.6,7.2,On-Time,2024-01,2024,Jan 2024
US-2021-167927-CHO-TRI-54000,2024-01-20,2024-01-27,Standard Class,Wicked Choccy's,Michigan,Interior,Wicked Choccy's → Michigan,Wicked Choccy's → Interior,7,Delayed,Slow,18.75,5,6.5,12.25,Delayed,2024-01,2024,Jan 2024
US-2021-147774-CHO-NUT-13000,2024-01-20,2024-01-24,Standard Class,Lot's O' Nuts,Tennessee,Gulf,Lot's O' Nuts → Tennessee,Lot's O' Nuts → Gulf,4,On-Time,Slow,3.49,1,1.0,2.49,On-Time,2024-01,2024,Jan 2024
US-2021-167927-CHO-MIL-31000,2024-01-20,2024-01-23,Standard Class,Wicked Choccy's,Michigan,Interior,Wicked Choccy's → Michigan,Wicked Choccy's → Interior,3,On-Time,Slow,16.25,5,5.7,10.55,On-Time,2024-01,2024,Jan 2024
US-2021-147627-CHO-SCR-58000,2024-01-20,2024-01-24,Standard Class,Lot's O' Nuts,Arkansas,Gulf,Lot's O' Nuts → Arkansas,Lot's O' Nuts → Gulf,4,On-Time,Slow,10.8,3,3.3,7.5,On-Time,2024-01,2024,Jan 2024
US-2021-167927-CHO-NUT-13000,2024-01-20,2024-01-24,Standard Class,Lot's O' Nuts,Michigan,Interior,Lot's O' Nuts → Michigan,Lot's O' Nuts → Interior,4,On-Time,Slow,10.47,3,3.0,7.47,On-Time,2024-01,2024,Jan 2024
US-2021-147627-CHO-MIL-31000,2024-01-20,2024-01-24,Standard Class,Wicked Choccy's,Arkansas,Gulf,Wicked Choccy's → Arkansas,Wicked Choccy's → Gulf,4,On-Time,Slow,13.0,4,4.56,8.44,On-Time,2024-01,2024,Jan 2024
US-2021-147627-CHO-TRI-54000,2024-01-20,2024-01-26,Standard Class,Wicked Choccy's,Arkansas,Gulf,Wicked Choccy's → Arkansas,Wicked Choccy's → Gulf,6,Delayed,Slow,26.25,7,9.1,17.15,Delayed,2024-01,2024,Jan 2024
US-2021-167927-CHO-FUD-51000,2024-01-20,2024-01-23,Standard Class,Lot's O' Nuts,Michigan,Interior,Lot's O' Nuts → Michigan,Lot's O' Nuts → Interior,3,On-Time,Slow,14.4,4,4.8,9.6,On-Time,2024-01,2024,Jan 2024
US-2021-148614-CHO-MIL-31000,2024-01-20,2024-01-26,Standard Class,Wicked Choccy's,California,Pacific,Wicked Choccy's → California,Wicked Choccy's → Pacific,6,Delayed,Slow,6.5,2,2.28,4.22,Delayed,2024-01,2024,Jan 2024
